Stock Name,Ticker,Market Cap,Exchange,Country,Sector,Industry
Norwegian Cruise Line Holdings,NCLH,"$7,723",NYSE,United States,Consumer Discretionary,Leisure & Recreation Services
Fluor,FLR,"$7,721",NYSE,United States,Construction,Engineering - Research & Development Services
Primerica,PRI,"$7,685",NYSE,United States,Finance,Life Insurance Providers
NNN REIT,NNN,"$7,679",NYSE,United States,Finance,REIT - Other Equity Trusts
Ternium S.A,TX,"$7,658",NYSE,Luxembourg,Basic Materials,Steel Producers
NIO,NIO,"$7,650",NYSE,China,Auto/Tires/Trucks,Auto Manufacturers - Foreign
Ascendis Pharma,ASND,"$7,643",NASDAQ,Denmark,Medical,Medical - Biomedical and Genetics
MarketAxess Holdings,MKTX,"$7,621",NASDAQ,United States,Finance,Securities Exchanges
Evercore Inc,EVR,"$7,611",NYSE,United States,Finance,Finance - Investment Banks
Cognex,CGNX,"$7,596",NASDAQ,United States,Computer and Technology,Electrical Test Equipment
MACOM Technology Solutions Holdings,MTSI,"$7,590",NASDAQ,United States,Computer and Technology,Semiconductor - Analog & Mixed
Dolby Laboratories,DLB,"$7,573",NYSE,United States,Consumer Discretionary,Audio & Video Home Production
Sprouts Farmers Market,SFM,"$7,559",NASDAQ,United States,Retail/Wholesale,Food Items - Wholesale
American Airlines Group,AAL,"$7,545",NASDAQ,United States,Transportation,Transportation - Airlines
Ingredion,INGR,"$7,545",NYSE,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
FTI Consulting,FCN,"$7,533",NYSE,United States,Business Services,Consulting Services
KANZHUN LIMITED,BZ,"$7,491",NASDAQ,China,Computer and Technology,Internet Software
Globe Life,GL,"$7,484",NYSE,United States,Finance,Finance - Miscellaneous Services
BellRing Brands,BRBR,"$7,483",NYSE,United States,Medical,Medical Products Manufacturing
Cerevel Therapeutics Holdings,CERE,"$7,479",NASDAQ,United States,Medical,Medical - Drug Manufacturing
SoFi Technologies,SOFI,"$7,475",NASDAQ,United States,Business Services,Technology Services
Penumbra,PEN,"$7,434",NYSE,United States,Medical,Medical Instruments Manufacturing
WEX,WEX,"$7,430",NYSE,United States,Business Services,Financial Transaction Services
Paramount Global,PARA,"$7,411",NASDAQ,United States,Consumer Discretionary,Media Conglomerates
Etsy,ETSY,"$7,398",NASDAQ,United States,Computer and Technology,Internet Services
Matador Resources,MTDR,"$7,388",NYSE,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Mohawk Industries,MHK,"$7,376",NYSE,United States,Consumer Discretionary,Textile - Home Furnishings
Pan American Silver,PAAS,"$7,364",NYSE,Canada,Basic Materials,Silver Miners
Applied Industrial Technologies,AIT,"$7,353",NYSE,United States,Industrial Products,General Industrial Machinery
Icahn Enterprises,IEP,"$7,341",NASDAQ,United States,Multi-Sector Conglomerates,Diversified Operations
GitLab,GTLB,"$7,340",NASDAQ,United States,Computer and Technology,Internet Software
Liberty Broadband,LBRDA,"$7,335",NASDAQ,United States,Consumer Discretionary,Cable TV Providers
WillScot Mobile Mini Holdings,WSC,"$7,324",NASDAQ,United States,Consumer Discretionary,Furniture Manufacturing
Brookfield Renewable Partners,BEP,"$7,313",NYSE,Bermuda,Utilities,Utility - Electric Power Distribution
Liberty Broadband,LBRDK,"$7,311",NASDAQ,United States,Consumer Discretionary,Cable TV Providers
Voya Financial,VOYA,"$7,296",NYSE,United States,Finance,Life Insurance Providers
Amer Sports,AS,"$7,281",NYSE,Finland,Consumer Discretionary,Leisure & Recreation Products
ATI,ATI,"$7,266",NYSE,United States,Basic Materials,Steel - Specialty Alloys
Americold Realty Trust,COLD,"$7,266",NYSE,United States,Finance,REIT - Other Equity Trusts
UFP Industries,UFPI,"$7,259",NASDAQ,United States,Construction,Building Products - Wood
Trump Media & Technology Group,DJT,"$7,232",NASDAQ,United States,Computer and Technology,Internet Software
HealthEquity,HQY,"$7,228",NASDAQ,United States,Medical,Medical Services
Lithia Motors,LAD,"$7,224",NYSE,United States,Retail/Wholesale,Retail and Wholesale Auto & Truck
Intra-Cellular Therapies,ITCI,"$7,200",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
CCC Intelligent Solutions Holdings,CCCS,"$7,191",NASDAQ,United States,Finance,"Property, Casualty and Title Insurance"
Cleveland-Cliffs,CLF,"$7,165",NYSE,United States,Basic Materials,Mining - Miscellaneous
Dropbox,DBX,"$7,165",NASDAQ,United States,Computer and Technology,Internet Services
Wayfair,W,"$7,155",NYSE,United States,Retail/Wholesale,Internet Commerce
FMC,FMC,"$7,155",NYSE,United States,Basic Materials,Chemicals - Diversified
NOV,NOV,"$7,143",NYSE,United States,Business Services,Technology Services
Chord Energy,CHRD,"$7,143",NASDAQ,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Alcoa,AA,"$7,130",NYSE,United States,Industrial Products,Metal Production & Distribution
H&R Block,HRB,"$7,116",NYSE,United States,Consumer Discretionary,Consumer Products - Miscellaneous Staples
Arrow Electronics,ARW,"$7,105",NYSE,United States,Computer and Technology,Electronics Parts Distribution
OGE Energy,OGE,"$7,101",NYSE,United States,Utilities,Utility - Electric Power Distribution
Webster Financial,WBS,"$7,091",NYSE,United States,Finance,Banks - Northeast
Oshkosh,OSK,"$7,074",NYSE,United States,Auto/Tires/Trucks,Auto & Truck Original Equipment Manufacturers
AGNC Investment,AGNC,"$7,073",NASDAQ,United States,Finance,REIT - Mortgage Trusts
Dutch Bros,BROS,"$7,061",NYSE,United States,Consumer Staples,Beverages - Soft Drinks
AZEK,AZEK,"$7,059",NYSE,United States,Construction,Building Products - Air Conditioning & Heating
XPeng,XPEV,"$7,046",NYSE,China,Auto/Tires/Trucks,Auto Manufacturers - Foreign
Masimo,MASI,"$7,039",NASDAQ,United States,Medical,Medical Instruments Manufacturing
Antero Midstream,AM,"$7,031",NYSE,United States,Oils/Energy,Oil & Gas - US Integrated
Ciena,CIEN,"$7,010",NYSE,United States,Computer and Technology,Fiber Optic Manufacturers
Kirby,KEX,"$7,007",NYSE,United States,Transportation,Transportation - Shipping
Unity Software,U,"$7,000",NYSE,United States,Computer and Technology,Internet Software
Jazz Pharmaceuticals,JAZZ,"$6,999",NASDAQ,Ireland,Medical,Medical - Drug Manufacturing
Commerce Bancshares,CBSH,"$6,988",NASDAQ,United States,Finance,Banks - Midwest
Simpson Manufacturing,SSD,"$6,967",NYSE,United States,Construction,Building & Construction Products - Misc.
MSA Safety Incorporporated,MSA,"$6,964",NYSE,United States,Industrial Products,Protection - Safety Equipment & Services
SPS Commerce,SPSC,"$6,957",NASDAQ,United States,Business Services,Business Services
KT,KT,"$6,942",NYSE,South Korea,Computer and Technology,Wireless - Non-US Providers
Globant S.A,GLOB,"$6,937",NYSE,Luxembourg,Computer and Technology,Internet Software & Services
