Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Shell,SHEL,1.4048,0.2755,0.4329,25.778,11.5415,11.5415,21.2233,10.0955,5.9901,0.7955,9.2191,6.0665,60.1661,10.4246,12.1624,4.8332,7.5531,58.08,-2.5251,-2.8202,2023
Shell,SHEL,1.3679,0.2797,0.4351,26.0183,17.6064,17.6064,22.4041,16.7827,10.9552,0.8717,8.9584,5.8067,62.8589,22.261,25.6891,9.6776,16.0342,55.2588,6.909,2.417,2022
Shell,SHEL,1.3477,0.3157,0.5081,26.5902,12.263,12.263,22.1366,10.9401,7.3723,0.6743,7.9245,5.1244,71.2284,11.7667,13.6955,5.1017,8.0525,45.6333,2.8053,5.2004,2021
Shell,SHEL,1.2475,0.365,0.6813,22.0279,-12.4883,-12.4883,16.1391,-14.7204,-11.8344,0.483,7.3414,5.4482,66.9949,-13.583,-15.854,-5.6778,-8.6256,40.6119,-1.6485,-0.7859,2020
Shell,SHEL,1.1641,0.2993,0.5063,19.9744,8.5699,8.5699,16.7211,7.2379,4.4992,0.8708,11.706,8.1104,45.0038,8.6274,9.8409,4.0639,6.0451,46.3562,-2.3187,-2.3311,2019
Shell,SHEL,1.2528,0.2477,0.3793,18.6221,9.927,9.927,15.5088,8.9826,5.8887,0.9934,15.282,9.3459,39.0546,11.8035,13.3592,5.9886,8.8796,49.2941,4.1256,2.5598,2018
Shell,SHEL,1.196,0.2719,0.4331,19.183,7.1094,7.1094,15.5177,5.8133,4.161,0.7661,9.9926,6.9981,52.1571,6.7918,7.7376,3.3002,4.9451,47.422,3.3669,5.5459,2017
Shell,SHEL,1.1726,0.3057,0.4906,19.5461,3.6699,3.6699,14.0822,2.3355,1.906,0.5836,8.8687,5.2565,69.4378,2.5341,2.9032,1.1615,1.7595,46.1223,-4.1002,-2.4825,2016
Shell,SHEL,1.3159,0.2436,0.3557,16.0562,1.4459,1.4459,11.2616,0.7521,0.7125,0.8001,14.4393,5.9443,61.4029,1.3405,1.3938,0.6468,1.014,51.0379,-4.9489,-4.7375,2015
Shell,SHEL,1.1574,0.1816,0.2636,16.1829,6.9824,6.9824,12.6621,6.5641,3.4483,1.2215,18.3514,7.3772,49.4769,8.525,8.889,4.1714,6.9771,54.4404,1.422,6.8318,2014
Thermo Fisher Scientific,TMO,1.7549,0.4012,0.7473,39.9001,16.0044,16.0044,23.9518,14.6954,13.9884,0.4341,5.0623,5.2131,70.0158,12.7451,-42.6393,6.0318,7.6315,120.8441,-1.5685,0.4758,2023
Thermo Fisher Scientific,TMO,1.4832,0.3963,0.7832,42.2376,18.6864,18.6864,26.214,17.4441,15.4737,0.4623,4.6049,5.5348,65.9462,15.8067,-47.6517,7.1639,9.542,112.7548,-0.2224,0.4504,2022
Thermo Fisher Scientific,TMO,1.4969,0.4418,0.8535,50.0829,25.5745,25.5745,32.1848,22.5473,19.7011,0.4122,3.8751,4.9155,74.2548,18.9157,-36.4838,8.1242,10.5591,103.5785,2.6815,0.0508,2021
Thermo Fisher Scientific,TMO,2.1309,0.3563,0.6297,49.6741,24.1914,24.1914,31.4079,22.4409,19.7871,0.4666,4.0243,5.6119,65.0402,18.475,-151.5087,9.2351,11.8921,87.0169,8.4344,6.9688,2020
Thermo Fisher Scientific,TMO,1.9192,0.3653,0.5982,44.3505,17.9861,17.9861,26.9008,15.9424,14.4703,0.4375,4.2178,5.8731,62.148,12.4617,-36.785,6.3343,7.91,74.4219,1.1503,0.6857,2019
Thermo Fisher Scientific,TMO,1.7285,0.3911,0.6884,44.5726,15.5308,15.5308,24.8378,13.3919,12.0618,0.4332,4.4928,5.8893,61.9772,10.6503,-23.063,5.2248,6.4849,68.6011,1.1269,0.6418,2018
Thermo Fisher Scientific,TMO,1.3367,0.4262,0.8267,45.1668,14.1505,14.1505,23.8694,11.612,10.6368,0.3691,3.8607,5.3926,67.685,8.7672,-13.4533,3.9316,5.0309,63.3243,1.8563,1.6503,2017
Thermo Fisher Scientific,TMO,1.4429,0.4164,0.7719,45.8137,13.4508,13.4508,23.071,11.0759,11.0649,0.3981,4.4745,5.3324,68.45,9.4011,-14.7198,4.411,5.486,54.7468,0.8881,0.8428,2016
Thermo Fisher Scientific,TMO,1.3847,0.3485,0.5842,45.7177,13.7695,13.7695,23.7194,11.4117,11.6416,0.4155,4.6237,6.1401,59.4456,9.2739,-19.3441,4.8489,6.042,53.4249,0.8068,0.7397,2015
Thermo Fisher Scientific,TMO,1.2224,0.3754,0.7088,44.3587,14.8198,14.8198,24.7951,12.3579,11.2164,0.3941,5.0538,6.8279,53.4568,9.2247,-15.2806,4.4234,5.7615,51.31,1.0149,0.7899,2014
